"","state","census_2010_pop","estimates_base_2010","census_2020_pop","estimates_base_2020","pop_estimate_2010","pop_estimate_2011","pop_estimate_2012","pop_estimate_2013","pop_estimate_2014","pop_estimate_2015","pop_estimate_2016","pop_estimate_2017","pop_estimate_2018","pop_estimate_2019","pop_estimate_2020","pop_estimate_2021","pop_estimate_2022","pop_estimate_2023","n_pop_chg_2010","n_pop_chg_2011","n_pop_chg_2012","n_pop_chg_2013","n_pop_chg_2014","n_pop_chg_2015","n_pop_chg_2016","n_pop_chg_2017","n_pop_chg_2018","n_pop_chg_2019","n_pop_chg_2020","n_pop_chg_2021","n_pop_chg_2022","n_pop_chg_2023","births_2010","births_2011","births_2012","births_2013","births_2014","births_2015","births_2016","births_2017","births_2018","births_2019","births_2020","births_2021","births_2022","births_2023","deaths_2010","deaths_2011","deaths_2012","deaths_2013","deaths_2014","deaths_2015","deaths_2016","deaths_2017","deaths_2018","deaths_2019","deaths_2020","deaths_2021","deaths_2022","deaths_2023","natural_chg_2010","natural_chg_2011","natural_chg_2012","natural_chg_2013","natural_chg_2014","natural_chg_2015","natural_chg_2016","natural_chg_2017","natural_chg_2018","natural_chg_2019","natural_chg_2020","natural_chg_2021","natural_chg_2022","natural_chg_2023","international_mig_2010","international_mig_2011","international_mig_2012","international_mig_2013","international_mig_2014","international_mig_2015","international_mig_2016","international_mig_2017","international_mig_2018","international_mig_2019","international_mig_2020","international_mig_2021","international_mig_2022","international_mig_2023","domestic_mig_2010","domestic_mig_2011","domestic_mig_2012","domestic_mig_2013","domestic_mig_2014","domestic_mig_2015","domestic_mig_2016","domestic_mig_2017","domestic_mig_2018","domestic_mig_2019","domestic_mig_2020","domestic_mig_2021","domestic_mig_2022","domestic_mig_2023","net_mig_2010","net_mig_2011","net_mig_2012","net_mig_2013","net_mig_2014","net_mig_2015","net_mig_2016","net_mig_2017","net_mig_2018","net_mig_2019","net_mig_2020","net_mig_2021","net_mig_2022","net_mig_2023","residual_2010","residual_2011","residual_2012","residual_2013","residual_2014","residual_2015","residual_2016","residual_2017","residual_2018","residual_2019","residual_2020","residual_2021","residual_2022","residual_2023","gq_estimates_base_2010","gq_estimates_base_2020","gq_estimates_2010","gq_estimates_2011","gq_estimates_2012","gq_estimates_2013","gq_estimates_2014","gq_estimates_2015","gq_estimates_2016","gq_estimates_2017","gq_estimates_2018","gq_estimates_2019","gq_estimates_2020","gq_estimates_2021","gq_estimates_2022","gq_estimates_2023","r_birth_2011","r_birth_2012","r_birth_2013","r_birth_2014","r_birth_2015","r_birth_2016","r_birth_2017","r_birth_2018","r_birth_2019","r_birth_2021","r_birth_2022","r_birth_2023","r_death_2011","r_death_2012","r_death_2013","r_death_2014","r_death_2015","r_death_2016","r_death_2017","r_death_2018","r_death_2019","r_death_2021","r_death_2022","r_death_2023","r_natural_chg_2011","r_natural_chg_2012","r_natural_chg_2013","r_natural_chg_2014","r_natural_chg_2015","r_natural_chg_2016","r_natural_chg_2017","r_natural_chg_2018","r_natural_chg_2019","r_natural_chg_2021","r_natural_chg_2022","r_natural_chg_2023","r_international_mig_2011","r_international_mig_2012","r_international_mig_2013","r_international_mig_2014","r_international_mig_2015","r_international_mig_2016","r_international_mig_2017","r_international_mig_2018","r_international_mig_2019","r_international_mig_2021","r_international_mig_2022","r_international_mig_2023","r_domestic_mig_2011","r_domestic_mig_2012","r_domestic_mig_2013","r_domestic_mig_2014","r_domestic_mig_2015","r_domestic_mig_2016","r_domestic_mig_2017","r_domestic_mig_2018","r_domestic_mig_2019","r_domestic_mig_2021","r_domestic_mig_2022","r_domestic_mig_2023","r_net_mig_2011","r_net_mig_2012","r_net_mig_2013","r_net_mig_2014","r_net_mig_2015","r_net_mig_2016","r_net_mig_2017","r_net_mig_2018","r_net_mig_2019","r_net_mig_2021","r_net_mig_2022","r_net_mig_2023"
"1","United States",308745538,308758105,331449281,331464948,309321666,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,328239523,331526933,332048977,333271411,334914895,563561,2235208,2274116,2162725,2307293,2334155,2306148,2044228,1701962,1552022,61985,522044,1222434,1643484,987836,3973485,3936976,3940576,3963195,3992376,3962654,3901982,3824521,3791712,894123,3584459,3679254,3653356,598691,2512442,2501531,2608019,2582448,2699826,2703215,2788163,2824382,2835038,852024,3438423,3456087,3148861,389145,1461043,1435445,1332557,1380747,1292550,1259439,1113819,1000139,956674,42099,146036,223167,504495,174416,774165,838671,830168,926546,1041605,1046709,930409,701823,595348,19886,376008,999267,1138989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174416,774165,838671,830168,926546,1041605,1046709,930409,701823,595348,19886,376008,999267,1138989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7999000,NA,8033858,8062293,8083176,8066128,8104017,8105934,8087433,8090193,8087084,8084362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,11.1,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,10.4,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.7,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,3,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,3,3.4
"2","Alabama",4779736,4780125,5024279,5024294,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,5031864,5050380,5073903,5108468,5312,13632,16519,14493,11718,10548,11178,10961,13195,15504,7570,18516,23523,34565,14226,59690,59067,57929,58903,59647,59389,58961,58271,57313,13867,57184,58106,58251,11075,48833,48366,50851,49712,51876,51710,53195,53665,53879,15165,69135,67208,59813,3151,10857,10701,7078,9191,7771,7679,5766,4606,3434,-1298,-11951,-9102,-1562,924,4665,5817,5046,3684,4580,5777,3011,3379,2772,125,1806,4374,5384,1244,-1893,-114,2297,-959,-1544,-2157,2298,5279,9387,9615,27715,28464,30744,2168,2772,5703,7343,2725,3036,3620,5309,8658,12159,9740,29521,32838,36128,-7,3,115,72,-198,-259,-121,-114,-69,-89,-872,946,-213,-1,116185,127914,116246,115180,115793,116932,119032,119972,118619,117094,116576,116625,131372,134653,141654,144014,12.455519356,12.286865772,12.011401179,12.180258647,12.305777115,12.225150764,12.109454384,11.938128082,11.707442426,11.3,11.5,11.4,10.189987883,10.060889328,10.543799502,10.279697432,10.702541513,10.644438296,10.925228982,10.994485138,11.005972301,13.7,13.3,11.7,2.2655314734,2.2259764441,1.467601677,1.9005612146,1.6032356022,1.5807124672,1.1842254029,0.9436429432,0.7014701253,-2.4,-1.8,-0.3,0.9734461014,1.2100275652,1.0462726847,0.7617960521,0.944900149,1.1891881655,0.6184014374,0.6922643302,0.5662420464,0.4,0.9,1.1,-0.395012534,-0.023713794,0.4762759328,-0.198306844,-0.318542758,-0.44401573,0.4719649629,1.0815221661,1.9175014754,5.5,5.6,6,0.5784335677,1.1863137707,1.5225486174,0.5634892079,0.6263573914,0.7451724354,1.0903664003,1.7737864964,2.4837435218,5.9,6.5,7.1
"3","Alaska",710231,710249,733391,733374,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545,732964,734923,733276,733406,3661,8218,8315,6625,-785,1215,3958,-1756,-4561,-3594,-410,1959,-1647,130,2892,11716,11124,11350,11443,11330,11246,10803,10284,10031,2406,9453,9356,9266,920,3937,3940,4039,4024,4350,4447,4463,4664,4819,1171,5330,6340,5581,1972,7779,7184,7311,7419,6980,6799,6340,5620,5212,1235,4123,3016,3685,430,1314,2348,2863,1198,2273,2303,2612,537,659,63,873,2356,2004,1168,-892,-1319,-3564,-9641,-8166,-5185,-10753,-10757,-9482,-1663,-2948,-7202,-5543,1598,422,1029,-701,-8443,-5893,-2882,-8141,-10220,-8823,-1600,-2075,-4846,-3539,91,17,102,15,239,128,41,45,39,17,-45,-89,183,-16,26366,30285,26346,25549,26835,28173,28077,27788,27561,26752,26698,26673,30262,30654,29833,29815,16.317116957,15.316290908,15.468367869,15.533297904,15.375418736,15.208045686,14.58725482,13.945929013,13.678474709,12.9,12.7,12.6,5.483141811,5.4248639137,5.5045583985,5.4623779398,5.9031837159,6.0137096894,6.0263739944,6.32475816,6.5712859757,7.3,8.6,7.6,10.833975146,9.8914269939,9.9638094706,10.070919964,9.47223502,9.1943359969,8.5608808255,7.6211708532,7.1071887332,5.6,4.1,5,1.8300351383,3.232888444,3.901844688,1.6262248439,3.0845831233,3.1143632594,3.5269748764,0.7282150797,0.8986257435,1.2,3.2,2.7,-1.242306958,-1.816090229,-4.857203796,-13.08717339,-11.08170074,-7.011712332,-14.51973999,-14.58735496,-12.92984719,-4,-9.8,-7.6,0.5877281799,1.416798215,-0.955359108,-11.46094855,-7.997117618,-3.897349072,-10.99276511,-13.85913988,-12.03122145,-2.8,-6.6,-4.8
"4","Arizona",6392017,6392288,7151502,7157902,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717,7186683,7272487,7365684,7431344,14884,65471,82335,77786,97649,99263,111396,102936,114016,120693,28781,85804,93197,65660,20934,86097,85577,86093,86129,86764,84957,83021,81767,81942,18110,75693,79137,78494,11505,48174,48754,50612,50236,52846,56032,56333,60127,60523,18025,80276,79807,70792,9429,37923,36823,35481,35893,33918,28925,26688,21640,21419,85,-4583,-670,7702,2550,16489,15100,17997,21312,19511,20062,13385,7937,7782,253,8010,22296,21635,3122,11062,29844,24050,39948,45561,62320,62686,84113,91017,29980,82290,69798,36179,5672,27551,44944,42047,61260,65072,82382,76071,92050,98799,30233,90300,92094,57814,-217,-3,568,258,496,273,89,177,326,475,-1537,87,1773,144,139679,166668,141558,147929,149917,147855,151013,156820,157197,154677,160032,161893,165653,150826,161194,162728,13.369291407,13.137778571,13.056518697,12.890497522,12.796966156,12.338763297,11.872795865,11.514831117,11.351869511,10.5,10.8,10.6,7.4805422283,7.4847126732,7.6756127016,7.5185713697,7.7943441227,8.13782955,8.0561569902,8.4673798792,8.3845793175,11.1,10.9,9.6,5.8887491785,5.6530658974,5.3809059959,5.371926152,5.0026220329,4.2009337474,3.8166388751,3.047451238,2.9672901938,-0.6,-0.1,1,2.5604405032,2.3181515643,2.729352758,3.1896606623,2.8777097259,2.9137124577,1.9141828291,1.1177273787,1.0780826504,1.1,3,2.9,1.7177265357,4.5816500188,3.6473264339,5.9788177617,6.7198673991,9.0510697022,8.9646966624,11.845206376,12.609078462,11.4,9.5,4.9,4.2781670389,6.8998015831,6.3766791919,9.168478424,9.597577125,11.96478216,10.878879492,12.962933755,13.687161112,12.5,12.6,7.8
"5","Arkansas",2915918,2916031,3011524,3011490,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804,3014348,3028443,3046404,3067732,5933,18703,11497,7236,7992,10656,11870,11427,8388,8071,2858,14095,17961,21328,9438,38453,38594,37978,38225,38796,38612,37737,37239,36640,8509,34927,36298,35566,6979,29455,29772,30994,29967,31318,31134,32340,31743,31322,8475,40180,40362,36473,2459,8998,8822,6984,8258,7478,7478,5397,5496,5318,34,-5253,-4064,-907,801,3662,3732,2321,3100,3303,3366,2039,588,268,94,1346,3215,4096,2469,5996,-1293,-2150,-3371,-106,1069,3981,2294,2515,2537,17806,18841,18106,3270,9658,2439,171,-271,3197,4435,6020,2882,2783,2631,19152,22056,22202,204,47,236,81,5,-19,-43,10,10,-30,193,196,-31,33,78973,82490,80151,81455,81271,81666,83090,84619,84917,84211,83998,84011,82455,82617,84268,85120,13.118001116,13.098627807,12.848714824,12.899052304,13.05067413,12.939752003,12.597343832,12.390123702,12.15753632,11.6,12,11.6,10.048389537,10.104481191,10.485888337,10.112384575,10.535132808,10.433705554,10.795720368,10.561499951,10.392968139,13.3,13.3,11.9,3.0696115788,2.9941466165,2.3628264872,2.7866677285,2.5155413224,2.5060464487,1.801623464,1.828623751,1.764568181,-1.7,-1.3,-0.3,1.2492684598,1.266623801,0.7852405895,1.0460971129,1.1111036357,1.1280225122,0.6806578179,0.1956387856,0.0889252111,0.4,1.1,1.3,2.0454980025,-0.43883831,-0.727387879,-1.137546248,-0.03565758,0.3582460088,1.3289351511,0.763257439,0.8345033801,5.9,6.2,5.9,3.2947664624,0.8277854905,0.0578527104,-0.091449135,1.0754460561,1.486268521,2.009592969,0.9588962246,0.9234285911,6.3,7.3,7.3
"6","California",37253956,37254519,39538223,39538212,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223,39503200,39145060,39040616,38965193,64983,318867,310431,311987,336185,321073,249072,191380,103091,50635,-35012,-358140,-104444,-75423,123327,509771,497451,499629,498914,500380,490358,481943,465017,462617,103133,412506,423922,414120,57319,238388,239535,247704,244055,253798,260121,265241,277578,282520,74587,345181,318145,302704,66008,271383,257916,251925,254859,246582,230237,216702,187439,180097,28546,67325,105777,111416,19635,99179,98297,116528,131001,156870,141892,112814,71300,74028,1383,44116,126517,150982,-20356,-51326,-41795,-53692,-46321,-79938,-122369,-137546,-155281,-203414,-67932,-458862,-332785,-338371,-721,47853,56502,62836,84680,76932,19523,-24732,-83981,-129386,-66549,-414746,-206268,-187389,-304,-369,-3987,-2774,-3354,-2441,-688,-590,-367,-76,2991,-10719,-3953,550,820359,917958,818897,816262,816845,807615,817753,820530,813594,819850,825817,826521,897669,771170,886334,891995,13.601533587,13.162313302,13.111972382,12.982788114,12.910530614,12.559569256,12.274797367,11.799454416,11.715706616,10.5,10.8,10.6,6.3605862018,6.337980458,6.5005994587,6.3508226931,6.5483569461,6.6624949821,6.7555282026,7.0433316584,7.1547769171,8.8,8.1,7.8,7.240947385,6.8243328441,6.6113729235,6.6319654207,6.3621736676,5.8970742739,5.5192691648,4.7561227573,4.5609296986,1.7,2.7,2.9,2.6462597904,2.6008911645,3.0580929405,3.408920627,4.0474737947,3.6342884196,2.8733044991,1.8091835349,1.8747480731,1.1,3.2,3.9,-1.369462588,-1.105875522,-1.409061566,-1.205369519,-2.06251648,-3.134244634,-3.503213614,-3.940137847,-5.15142925,-11.7,-8.5,-8.7,1.2767972025,1.4950156421,1.6490313745,2.203551108,1.9849573148,0.5000437855,-0.629909115,-2.130954312,-3.276681177,-10.5,-5.3,-4.8
"7","Colorado",5029196,5029319,5773714,5773707,5047349,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736,5785219,5811596,5841039,5877610,18030,73759,71539,76388,81066,100522,88592,72670,79402,67449,11512,26377,29443,36571,16780,65926,64748,64729,65702,66350,66588,65375,64494,64524,15593,62137,62682,62498,7832,32015,32721,33589,33935,36253,36719,37702,38490,39116,11914,46481,49599,45099,8948,33911,32027,31140,31767,30097,29869,27673,26004,25408,3679,15656,13083,17399,2322,12382,11017,8715,9461,13122,9351,8171,10646,10523,244,3913,10413,11931,6111,27250,27722,35709,38947,56554,49084,36612,42539,31335,7169,5404,6772,7236,8433,39632,38739,44424,48408,69676,58435,44783,53185,41858,7413,9317,17185,19167,649,216,773,824,891,749,288,214,213,183,420,1404,-825,5,116006,126857,116068,117199,115981,116780,118181,119396,119791,120536,119441,119141,124881,114634,123235,125069,12.966765754,12.555659893,12.374491979,12.374264724,12.286213406,12.118104016,11.725300643,11.411663912,11.270545046,10.7,10.8,10.7,6.2969239089,6.3451187274,6.421338366,6.3912920976,6.7130684943,6.6823550993,6.7620234775,6.8104776252,6.8324753583,8,8.5,7.7,6.6698418452,6.2105411657,5.9531536133,5.982972626,5.5731449114,5.4357489164,4.9632771655,4.6011862865,4.4380696877,2.7,2.2,3,2.4353744132,2.1363703132,1.6660800816,1.7818775463,2.4298371109,1.7017539294,1.4655056452,1.8837190127,1.8380749104,0.7,1.8,2,5.3597119012,5.3757336683,6.8266269229,7.3352483667,10.472260934,8.9326157492,6.5665270691,7.5269136841,5.4733514509,0.9,1.2,1.2,7.7950863145,7.5121039815,8.4927070045,9.1171259131,12.902098045,10.634369679,8.0320327143,9.4106326967,7.3114263613,1.6,2.9,3.3
"8","Connecticut",3574097,3574147,3605944,3605912,3579114,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287,3577586,3603691,3608706,3617176,4967,9169,6264,294,-317,-7402,-8981,-4844,-1777,-6233,-28326,26105,5015,8470,9488,37634,36855,36142,36162,36321,35888,35551,34883,34567,8465,33942,35572,34957,6847,29295,29064,29756,29669,30375,30116,31118,31263,31149,11938,34571,34833,32842,2641,8339,7791,6386,6493,5946,5772,4433,3620,3418,-3473,-629,739,2115,2420,12893,15890,11024,18106,16475,14395,14368,18498,12323,410,6217,15562,15264,152,-12024,-17361,-17031,-25086,-29963,-29219,-23724,-23976,-22059,-21420,19032,-10081,-9016,2572,869,-1471,-6007,-6980,-13488,-14824,-9356,-5478,-9736,-21010,25249,5481,6248,-246,-39,-56,-85,170,140,71,79,81,85,-3843,1485,-1205,107,118152,107997,121176,120321,118290,118482,117592,115977,114855,113358,110865,110867,86236,98801,103248,103382,10.501441458,10.261971953,10.054263311,10.05985925,10.114951364,10.017217791,9.9423360728,9.7645607998,9.6869650531,9.5,9.9,9.7,8.174515797,8.0926320127,8.2777560482,8.2535801145,8.4590635629,8.4061115412,8.7025854101,8.7512388351,8.7291137339,9.6,9.7,9.1,2.3269256607,2.1693399398,1.7765072632,1.8062791359,1.6558878007,1.6111062497,1.2397506627,1.0133219647,0.9578513192,-0.2,0.2,0.6,3.5976798829,4.4244399492,3.0667422596,5.0368843424,4.5880846814,4.0179962689,4.0182128406,5.1780192551,3.4533650693,1.7,4.3,4.2,-3.355192966,-4.834027814,-4.737816348,-6.978641368,-8.344326635,-8.155736921,-6.634749543,-6.711438516,-6.181756071,5.3,-2.8,-2.5,0.2424869168,-0.409587864,-1.671074089,-1.941757026,-3.756241953,-4.137740652,-2.616536702,-1.53341926,-2.728391002,7,1.5,1.7
"9","Delaware",897934,897937,989948,989946,899593,907381,915179,923576,932487,941252,948921,956823,965479,973764,991862,1004881,1019459,1031890,1656,7788,7798,8397,8911,8765,7669,7902,8656,8285,1916,13019,14578,12431,2842,11298,11158,10890,10981,11026,11084,10978,10732,10683,2579,10174,10883,10725,1839,7874,7695,8085,8072,8543,8505,9057,9420,9454,2959,11228,11488,10897,1003,3424,3463,2805,2909,2483,2579,1921,1312,1229,-380,-1054,-605,-172,357,1527,1212,2357,1743,2238,1708,1528,484,73,62,939,2378,2277,281,2854,3202,3298,4230,4052,3379,4430,6851,6961,2195,13284,12669,10320,638,4381,4414,5655,5973,6290,5087,5958,7335,7034,2257,14223,15047,12597,15,-17,-79,-63,29,-8,3,23,9,22,39,-150,136,6,24413,22718,24345,24751,25196,25194,25207,25061,25021,24974,24887,24895,22409,22717,23809,23737,12.504883856,12.244315688,11.84497119,11.832572493,11.768981699,11.728027011,11.520959793,11.165779362,11.017701237,10.2,10.8,10.5,8.7151226304,8.4441664472,8.7939937621,8.6979806181,9.1186659401,8.9991762659,9.5049492482,9.8007493099,9.7501963395,11.2,11.3,10.6,3.7897612251,3.8001492406,3.0509774277,3.1345918754,2.650315759,2.7288507454,2.016010545,1.3650300525,1.2675048975,-1.1,-0.6,-0.2,1.6901183968,1.3299973663,2.5636911932,1.8781690061,2.388806552,1.8072419826,1.6035731977,0.5035629157,0.0752871095,0.9,2.3,2.2,3.1588722361,3.5137389167,3.587209824,4.5580349374,4.3250420683,3.5753341096,4.6491029225,7.1279122635,7.1790899851,13.3,12.5,10.1,4.848990633,4.843736283,6.1509010173,6.4362039435,6.7138486203,5.3825760922,6.2526761202,7.6314751792,7.2543770946,14.2,14.9,12.3
"10","District of Columbia",601723,601767,689545,689548,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749,670839,669037,670949,678972,3459,14574,15124,15657,11747,13072,10415,9091,6641,4202,-18709,-1802,1912,8023,2245,9196,9232,9445,9334,9648,9718,9693,9523,9493,2187,8508,8399,7627,1181,4668,4538,4813,4650,4883,4852,5138,5321,5677,2004,5837,5572,5020,1064,4528,4694,4632,4684,4765,4866,4555,4202,3816,183,2671,2827,2607,696,2414,3384,4737,5205,5024,3451,3541,2749,2604,50,1745,4527,6969,1473,7537,6711,6051,1778,3201,2057,973,-318,-2203,-15475,-6551,-4917,-1509,2169,9951,10095,10788,6983,8225,5508,4514,2431,401,-15425,-4806,-390,5460,226,95,335,237,80,82,41,22,8,-15,-3467,333,-525,-44,40021,40699,40119,40240,40305,40157,39759,39246,39281,38810,39401,38858,21719,38289,36723,37601,15.013558896,14.715586854,14.694614179,14.218807244,14.42445699,14.278420382,14.040490439,13.638840691,13.49112056,12.7,12.5,11.3,7.6210627366,7.2334632955,7.4881077864,7.08350693,7.3004377572,7.1289252616,7.4424883811,7.6207362511,8.0679544318,8.7,8.3,7.4,7.3924961593,7.4821235586,7.2065063924,7.135300314,7.1240192326,7.1494951202,6.5980020583,6.0181044403,5.4231661285,4,4.2,3.9,3.9411408411,5.3940149387,7.3698663171,7.9289577572,7.5112429433,5.0704701315,5.1292042346,3.9371178264,3.7007139934,2.6,6.8,10.3,12.305044954,10.697173243,9.4141990891,2.7084893165,4.7857262463,3.0222999306,1.4094085626,-0.455439603,-3.130826777,-9.8,-7.3,-2.2,16.246185795,16.091188182,16.784065406,10.637447074,12.29696919,8.092770062,6.5386127972,3.4816782233,0.5698872163,-7.2,-0.6,8.1
"11","Florida",18801310,18804564,21538187,21538216,18845537,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737,21591299,21830708,22245521,22610726,40973,207700,244585,247799,300290,363131,404435,350136,280704,233420,53083,239409,414813,365205,50873,213205,214010,212988,218333,221746,224651,224574,223066,221695,50294,207942,222003,223578,41764,174483,173756,181609,181024,191076,193671,199813,209998,211692,56383,250389,260220,231181,9109,38722,40254,31379,37309,30670,30980,24761,13068,10003,-6089,-42447,-38217,-7603,22164,100548,98777,103594,112485,132882,155926,160385,131600,88678,2840,46865,121233,178432,10296,68593,103746,111585,147547,197401,216749,164257,135530,133910,61782,244619,317923,194438,32460,169141,202523,215179,260032,330283,372675,324642,267130,222588,64622,291484,439156,372870,-596,-163,1808,1241,2949,2178,780,733,506,829,-5450,-9628,13874,-62,424999,464639,426954,429056,428097,432224,432109,432539,431386,432180,431995,429975,470385,475056,479972,480002,11.251287443,11.160578382,10.966484099,11.085275891,11.072088887,11.006229184,10.80277624,10.569862109,10.378480398,9.6,10.1,10,9.2078440321,9.0613403922,9.3508188757,9.1910109005,9.5406927578,9.4884394567,9.6116875904,9.9506419765,9.9101976698,11.5,11.8,10.3,2.0434434106,2.0992379898,1.6156652231,1.8942649908,1.5313961297,1.5177897278,1.19108865,0.6192201323,0.4682827282,-2,-1.7,-0.3,5.306134705,5.1512006487,5.3339246987,5.7111259344,6.6349846922,7.6392150127,7.7150661578,6.2357950271,4.1513921592,2.2,5.5,8,3.6198004716,5.4103329976,5.7453712329,7.4913054917,9.8565088817,10.619089919,7.9013225793,6.4220159577,6.2688933449,11.3,14.4,8.7,8.9259351767,10.561533646,11.079295932,13.202431426,16.491493574,18.258304932,15.616388737,12.657810985,10.420285504,13.4,19.9,16.6
"12","Georgia",9687653,9688729,10711908,10713771,9711881,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423,10732390,10790385,10913150,11029227,23152,90550,98999,71049,94799,111169,123443,108440,100801,106292,18619,57995,122765,116077,32487,132621,131867,128653,129551,131676,130742,129824,128547,127873,29847,121276,125599,125664,17216,71158,70452,74849,74837,78553,80059,82160,84569,86319,24771,109501,110380,97847,15271,61463,61415,53804,54714,53123,50683,47664,43978,41554,5076,11775,15219,27817,4088,11606,21466,22294,16832,25266,34354,20986,16863,15053,730,10161,27010,30119,3012,17214,15023,-5840,23027,32629,38428,39794,39981,49680,11606,35341,80599,58206,7100,28820,36489,16454,39859,57895,72782,60780,56844,64733,12336,45502,107609,88325,781,267,1095,791,226,151,-22,-4,-21,5,1207,718,-63,-65,254026,257042,257336,260169,265389,260937,261981,259218,256119,258938,261894,266840,255871,234733,251794,254664,13.592177885,13.384889388,12.946924533,12.929398296,13.007783125,12.767563346,12.535981174,12.288529945,12.104283142,11.3,11.6,11.5,7.2929037929,7.1510857694,7.5323883188,7.4688530405,7.7599592013,7.8181330708,7.9334808147,8.0844258439,8.170838383,10.2,10.2,8.9,6.2992740918,6.2338036185,5.4145362143,5.4605452551,5.2478239233,4.9494302755,4.6025003597,4.2041041015,3.9334447592,1.1,1.4,2.5,1.1894859527,2.1788623052,2.2435445387,1.6798606889,2.4959343269,3.3548276085,2.0264365674,1.6120289114,1.4248963748,0.9,2.5,2.7,1.7642435972,1.5248788042,-0.587705217,2.298131659,3.2232977579,3.7526726245,3.8425625066,3.8220084152,4.702640796,3.3,7.4,5.3,2.9537295499,3.7037411094,1.6558393218,3.9779923479,5.7192320848,7.107500233,5.868999074,5.4340373266,6.1275371708,4.2,9.9,8.1
"13","Hawaii",1360301,1360307,1455271,1455274,1363963,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,1415872,1451181,1446745,1439399,1435138,3656,15366,15475,13439,6295,7514,5507,-3166,-3800,-4721,-4093,-4436,-7346,-4261,4647,19151,18891,19036,18956,18212,18250,17939,17173,16878,3836,15528,15746,15167,2534,10072,10244,10340,10740,11070,10854,11297,12454,12748,2843,12152,13375,12812,2113,9079,8647,8696,8216,7142,7396,6642,4719,4130,993,3376,2371,2355,1975,7229,10116,5681,3854,7267,9598,4647,4412,5014,119,2043,5917,4627,-348,-889,-3061,-764,-5709,-6817,-11455,-14452,-12910,-13817,-4831,-9982,-15664,-11193,1627,6340,7055,4917,-1855,450,-1857,-9805,-8498,-8803,-4712,-7939,-9747,-6566,-84,-53,-227,-174,-66,-78,-32,-3,-21,-48,-374,127,30,-50,42880,40759,43311,43321,42904,43731,43985,44265,44393,43477,42938,42918,38589,40519,40072,40128,13.962057266,13.619390274,13.582362336,13.430726649,12.84077008,12.808765828,12.580155627,12.07246714,11.900728548,10.7,10.9,10.6,7.3430024948,7.3853704923,7.3776857827,7.6095169976,7.8051463201,7.6178818793,7.9222932223,8.7550518702,8.9886531299,8.4,9.3,8.9,6.6190547707,6.234019782,6.2046765538,5.821209651,5.0356237595,5.1908839487,4.6578624044,3.3174152702,2.9120754178,2.3,1.6,1.6,5.2703102696,7.2930894085,4.0534461249,2.7306404571,5.1237577514,6.7363580503,3.2588206253,3.101596985,3.5353864758,1.4,4.1,3.2,-0.648126412,-2.206815607,-0.545121077,-4.044947164,-4.806475381,-8.039693839,-10.13481293,-9.075615838,-9.742408244,-6.9,-10.9,-7.8,4.6221838579,5.0862738016,3.5083250477,-1.314306707,0.3172823707,-1.303335789,-6.875992303,-5.974018853,-6.207021768,-5.5,-6.8,-4.6
